first name,genre1,genre2,genre3,score1,score2,score3
Ethan,drama,thriller,action,51,17,76
Ava,mystery,family,comedy,62,93,84
Noah,horror,documentary,fantasy,35,42,10
Olivia,romance,crime,musical,89,25,72
Liam,sf,horror,drama,14,97,66
Emma,action,mystery,comedy,28,53,87
Benjamin,romance,family,thriller,46,91,32
Sophia,fantasy,documentary,musical,79,58,11
Mason,crime,sf,drama,69,23,99
Isabella,comedy,horror,mystery,38,70,81
James,thriller,fantasy,romance,43,27,96
Mia,drama,action,family,68,80,39
Alexander,musical,comedy,sf,63,55,86
Charlotte,mystery,horror,crime,20,74,49
William,fantasy,romance,documentary,57,30,67
Harper,drama,thriller,musical,88,19,41
Daniel,comedy,sf,horror,94,12,77
Amelia,family,crime,mystery,50,75,34
Henry,action,fantasy,documentary,45,98,22
Grace,thriller,romance,musical,61,83,15
